,Rooms,Price,Date,Propertycount,Distance,Qtr,Year,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Northern Metropolitan,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Victoria,Regionname_Western Metropolitan,Method_PI,Method_S,Method_SA,Method_SP,Method_VB
0,3,1490000.0,2017-01-04,4019,3.0,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,3,1220000.0,2017-01-04,4019,3.0,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2,3,1420000.0,2017-01-04,4019,3.0,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,3,1515000.0,2017-01-04,1543,7.5,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
4,2,670000.0,2017-01-04,3464,10.4,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
5,2,530000.0,2017-01-04,3464,10.4,1,2017,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6,2,540000.0,2017-01-04,3464,10.4,1,2017,0,0,1,0,0,0,0,0,1,0,1,0,0,0
7,3,715000.0,2017-01-04,3464,10.4,1,2017,1,0,0,0,0,0,0,0,1,0,0,0,1,0
9,3,1925000.0,2017-01-04,3280,3.0,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
10,3,515000.0,2017-01-04,2185,10.5,1,2017,0,0,1,0,0,0,0,0,1,0,1,0,0,0
11,4,717000.0,2017-01-04,2185,10.5,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
12,2,1675000.0,2017-01-04,2211,5.7,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
13,4,2008000.0,2017-01-04,2211,5.7,1,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
14,2,860000.0,2017-01-04,5301,11.0,1,2017,1,0,0,0,0,0,0,0,1,0,0,0,1,0
16,3,720000.0,2017-01-04,5132,9.4,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
17,2,836000.0,2017-01-04,4836,6.3,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
18,2,2110000.0,2017-01-04,4836,6.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
19,3,1386000.0,2017-01-04,4836,6.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
20,2,580000.0,2017-01-04,4836,6.3,1,2017,0,0,1,0,0,0,1,0,0,0,0,0,0,1
21,1,355000.0,2017-01-04,4836,6.3,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
22,3,1123100.0,2017-01-04,6567,4.3,1,2017,1,0,0,0,0,0,0,0,1,0,1,0,0,0
23,3,1270000.0,2017-01-04,3052,10.2,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
25,3,1610000.0,2017-01-04,3052,10.2,1,2017,0,1,0,0,0,0,1,0,0,0,1,0,0,0
26,4,1435000.0,2017-01-04,2894,10.2,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
27,4,1431000.0,2017-01-04,2824,21.5,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
28,4,996000.0,2017-01-04,2243,21.5,1,2017,1,0,0,0,0,1,0,0,0,0,1,0,0,0
30,4,825000.0,2017-01-04,4502,9.5,1,2017,1,0,0,0,0,0,0,0,1,0,0,0,1,0
31,2,660800.0,2017-01-04,5682,7.9,1,2017,0,0,1,0,0,0,1,0,0,0,0,0,1,0
32,2,700000.0,2017-01-04,5682,7.9,1,2017,0,1,0,0,0,0,1,0,0,1,0,0,0,0
33,5,2700000.0,2017-01-04,5682,7.9,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0
34,3,2035000.0,2017-01-04,5682,7.9,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0
35,3,955000.0,2017-01-04,5682,7.9,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
36,4,1810000.0,2017-01-04,5682,7.9,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
37,4,1850000.0,2017-01-04,7809,9.7,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0
39,4,2600000.0,2017-01-04,7809,9.7,1,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,1
40,3,1220000.0,2017-01-04,7809,9.7,1,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,1
41,4,2470000.0,2017-01-04,7809,9.7,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0
43,2,800000.0,2017-01-04,7809,9.7,1,2017,0,0,1,0,0,0,1,0,0,1,0,0,0,0
44,4,880000.0,2017-01-04,3598,23.2,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
45,4,1285000.0,2017-01-04,5366,17.3,1,2017,1,0,0,0,0,0,1,0,0,0,0,0,1,0
46,2,835000.0,2017-01-04,5366,17.3,1,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
47,4,1445000.0,2017-01-04,5366,17.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
49,4,1435000.0,2017-01-04,5366,17.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
50,3,675000.0,2017-01-04,790,8.8,1,2017,0,0,1,1,0,0,0,0,0,0,0,0,1,0
51,4,1300000.0,2017-01-04,6795,11.4,1,2017,0,1,0,0,0,0,1,0,0,0,0,0,0,1
52,4,1500000.0,2017-01-04,6795,11.4,1,2017,0,1,0,0,0,0,1,0,0,1,0,0,0,0
53,3,1340000.0,2017-01-04,6795,11.4,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
55,3,1400000.0,2017-01-04,10969,13.8,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
57,2,775000.0,2017-01-04,10969,13.8,1,2017,0,1,0,0,0,0,1,0,0,0,1,0,0,0
58,3,920000.0,2017-01-04,10969,13.8,1,2017,0,1,0,0,0,0,1,0,0,0,0,0,1,0
59,2,1220000.0,2017-01-04,10969,13.8,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
60,2,1130000.0,2017-01-04,10969,13.8,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
61,4,1460000.0,2017-01-04,10969,13.8,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
63,4,3000000.0,2017-01-04,2866,17.3,1,2017,1,0,0,0,0,0,1,0,0,0,1,0,0,0
64,4,1200000.0,2017-01-04,5713,13.4,1,2017,1,0,0,1,0,0,0,0,0,1,0,0,0,0
65,4,1410000.0,2017-01-04,5713,13.4,1,2017,1,0,0,1,0,0,0,0,0,0,1,0,0,0
